Date,AAPL,MSFT,XOM,BP
2017-06-27,143.72999572753906,69.20999908447266,81.11000061035156,35.150001525878906
2017-06-28,145.8300018310547,69.80000305175781,81.52999877929688,35.27000045776367
2017-06-29,143.67999267578125,68.48999786376953,80.69999694824219,34.86000061035156
2017-06-30,144.02000427246094,68.93000030517578,80.7300033569336,34.650001525878906
2017-07-03,143.5,68.16999816894531,82.0999984741211,35.02000045776367
2017-07-05,144.08999633789062,69.08000183105469,80.8499984741211,34.41999816894531
2017-07-06,142.72999572753906,68.56999969482422,80.12000274658203,34.439998626708984
2017-07-07,144.17999267578125,69.45999908447266,80.22000122070312,34.36000061035156
2017-07-10,145.05999755859375,69.9800033569336,80.16000366210938,34.33000183105469
2017-07-11,145.52999877929688,69.98999786376953,80.5999984741211,34.36000061035156
2017-07-12,145.74000549316406,71.1500015258789,80.95999908447266,34.869998931884766
2017-07-13,147.77000427246094,71.7699966430664,80.97000122070312,34.720001220703125
2017-07-14,149.0399932861328,72.77999877929688,81.27999877929688,34.95000076293945
2017-07-17,149.55999755859375,73.3499984741211,80.86000061035156,34.91999816894531
2017-07-18,150.0800018310547,73.30000305175781,80.5999984741211,34.83000183105469
2017-07-19,151.02000427246094,73.86000061035156,80.8499984741211,35.029998779296875
2017-07-20,150.33999633789062,74.22000122070312,80.86000061035156,35.099998474121094
2017-07-21,150.27000427246094,73.79000091552734,80.12000274658203,34.68000030517578
2017-07-24,152.08999633789062,73.5999984741211,79.87000274658203,34.459999084472656
2017-07-25,152.74000549316406,74.19000244140625,80.2699966430664,34.900001525878906
2017-07-26,153.4600067138672,74.05000305175781,80.37000274658203,34.84000015258789
2017-07-27,150.55999755859375,73.16000366210938,80.83000183105469,34.9900016784668
2017-07-28,149.5,73.04000091552734,79.5999984741211,35.15999984741211
2017-07-31,148.72999572753906,72.69999694824219,80.04000091552734,35.13999938964844
2017-08-01,150.0500030517578,72.58000183105469,80.16999816894531,36.27000045776367
2017-08-02,157.13999938964844,72.26000213623047,80.5999984741211,36.400001525878906
2017-08-03,155.57000732421875,72.1500015258789,80.48999786376953,36.13999938964844
2017-08-04,156.38999938964844,72.68000030517578,80.20999908447266,36.33000183105469
2017-08-07,158.80999755859375,72.4000015258789,80.16000366210938,36.75
2017-08-08,160.0800018310547,72.79000091552734,79.95999908447266,36.540000915527344
2017-08-09,161.05999755859375,72.47000122070312,80.20999908447266,36.15999984741211
2017-08-10,155.32000732421875,71.41000366210938,78.97000122070312,35.470001220703125
2017-08-11,157.47999572753906,72.5,78.20999908447266,34.939998626708984
2017-08-14,159.85000610351562,73.58999633789062,78.2300033569336,34.68000030517578
2017-08-15,161.60000610351562,73.22000122070312,78.04000091552734,34.56999969482422
2017-08-16,160.9499969482422,73.6500015258789,77.47000122070312,34.290000915527344
2017-08-17,157.86000061035156,72.4000015258789,76.26000213623047,34.099998474121094
2017-08-18,157.5,72.48999786376953,76.63999938964844,34.15999984741211
2017-08-21,157.2100067138672,72.1500015258789,76.37999725341797,34.0
2017-08-22,159.77999877929688,73.16000366210938,76.73999786376953,34.150001525878906
2017-08-23,159.97999572753906,72.72000122070312,76.61000061035156,34.2400016784668
2017-08-24,159.27000427246094,72.69000244140625,76.33000183105469,34.18000030517578
2017-08-25,159.86000061035156,72.81999969482422,76.72000122070312,34.540000915527344
2017-08-28,161.47000122070312,72.83000183105469,76.47000122070312,34.470001220703125
2017-08-29,162.91000366210938,73.05000305175781,76.44999694824219,34.369998931884766
2017-08-30,163.35000610351562,74.01000213623047,76.0999984741211,34.369998931884766
2017-08-31,164.0,74.7699966430664,76.33000183105469,34.72999954223633
2017-09-01,164.0500030517578,73.94000244140625,76.56999969482422,34.77000045776367
2017-09-05,162.0800018310547,73.61000061035156,77.18000030517578,34.95000076293945
2017-09-06,161.91000366210938,73.4000015258789,78.77999877929688,35.31999969482422
2017-09-07,161.25999450683594,74.33999633789062,79.02999877929688,35.5
2017-09-08,158.6300048828125,73.9800033569336,78.81999969482422,35.31999969482422
2017-09-11,161.5,74.76000213623047,79.25,35.560001373291016
2017-09-12,160.86000061035156,74.68000030517578,79.5,35.75
2017-09-13,159.64999389648438,75.20999908447266,79.7699966430664,35.9900016784668
2017-09-14,158.27999877929688,74.7699966430664,80.08999633789062,36.33000183105469
2017-09-15,159.8800048828125,75.30999755859375,80.06999969482422,36.58000183105469
2017-09-18,158.6699981689453,75.16000366210938,80.08999633789062,36.650001525878906
2017-09-19,158.72999572753906,75.44000244140625,80.22000122070312,36.95000076293945
2017-09-20,156.07000732421875,74.94000244140625,80.55000305175781,37.22999954223633
2017-09-21,153.38999938964844,74.20999908447266,79.88999938964844,37.70000076293945
2017-09-22,151.88999938964844,74.41000366210938,79.91999816894531,37.81999969482422
2017-09-25,150.5500030517578,73.26000213623047,80.9800033569336,38.2400016784668
